,Title,Artist,Genre,Url,Happy,Sad,Energized,Relaxed,Nostalgic,Romantic,Angry,Focused,Inspired,Melancholic,Peaceful,Anxious,Confident,Dreamy,Lonely
51,yours,데이먼스 이어 (Damons year),Ballad,https://www.youtube.com/watch?v=VHj6IYA-Dxs&pp=ygUteW91cnMg642w7J2066i87IqkIOydtOyWtCAoRGFtb25zIHllYXIpIGF1ZGlv,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1
52,내가 아니라도,주호,Ballad,https://www.youtube.com/watch?v=lAq9l8o6UXU&pp=ygUg64K06rCAIOyVhOuLiOudvOuPhCDso7ztmLggYXVkaW8%3D,,,,,,,,,,,,,,,
53,사실말야내가말야그게그러니까말이야,케이시 (Kassy),Ballad,https://www.youtube.com/watch?v=SgCVL4vhUy8&pp=ygVL7IKs7Iuk66eQ7JW864K06rCA66eQ7JW86re46rKM6re465-s64uI6rmM66eQ7J207JW8IOy8gOydtOyLnCAoS2Fzc3kpIGF1ZGlv,,,,,,,,,,,,,,,
54,너였다면,정승환,Ballad,https://www.youtube.com/watch?v=F6ql927-RkI&pp=ygUc64SI7JiA64uk66m0IOygleyKue2ZmCBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
55,달빛에 그려지는,미연 ((여자)아이들),Ballad,https://www.youtube.com/watch?v=bM9aYMhV-VM&pp=ygU364us67mb7JeQIOq3uOugpOyngOuKlCDrr7jsl7AgKCjsl6zsnpAp7JWE7J2065OkKSBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
56,아로하,조정석,Ballad,https://www.youtube.com/watch?v=dap8rIR_NSI&pp=ygUZ7JWE66Gc7ZWYIOyhsOygleyEnSBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
57,늦은 밤 너의 집 앞 골목길에서,노을,Ballad,https://www.youtube.com/watch?v=3gaLOtoSs40&pp=ygU264qm7J2AIOuwpCDrhIjsnZgg7KeRIOyVniDqs6jrqqnquLjsl5DshJwg64W47J2EIGF1ZGlv,,,,,,,,,,,,,,,
58,내 손을 잡아,아이유,Ballad,https://www.youtube.com/watch?v=-_7HwAXKycU&pp=ygUh64K0IOyGkOydhCDsnqHslYQg7JWE7J207JygIGF1ZGlv,,,,,,,,,,,,,,,
59,취기를 빌려 (취향저격 그녀 X 산들),산들,Ballad,https://www.youtube.com/watch?v=2COAu1l6hUQ&pp=ygU87Leo6riw66W8IOu5jOugpCAo7Leo7Zal7KCA6rKpIOq3uOuFgCBYIOyCsOuTpCkg7IKw65OkIGF1ZGlv,,,,,,,,,,,,,,,
60,너를 만나,폴킴,Ballad,https://www.youtube.com/watch?v=sEpCeg31WIM&pp=ygUa64SI66W8IOunjOuCmCDtj7TtgrQgYXVkaW8%3D,,,,,,,,,,,,,,,
61,다시 사랑한다면 (니글니글 버터플라이),김필,Ballad,https://www.youtube.com/watch?v=NU6XxRcx5LA&pp=ygVC64uk7IucIOyCrOueke2VnOuLpOuptCAo64uI6riA64uI6riAIOuyhO2EsO2UjOudvOydtCkg6rmA7ZWEIGF1ZGlv,,,,,,,,,,,,,,,
62,그때 헤어지면 돼,로이킴,Ballad,https://www.youtube.com/watch?v=3-BDHurDRd0&pp=ygUn6re465WMIO2XpOyWtOyngOuptCDrj7wg66Gc7J207YK0IGF1ZGlv,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63,거리에서,성시경,Ballad,https://www.youtube.com/watch?v=RUd6LLIr-Wg&pp=ygUc6rGw66as7JeQ7IScIOyEseyLnOqyvSBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
64,나의 X에게,경서,Ballad,https://www.youtube.com/watch?v=iAfxyHOmHrM&pp=ygUb64KY7J2YIFjsl5Dqsowg6rK97IScIGF1ZGlv,,,,,,,,,,,,,,,
65,Heaven(2023),임재현,Ballad,https://www.youtube.com/watch?v=4Zw0OI38Pxs&pp=ygUcSGVhdmVuKDIwMjMpIOyehOyerO2YhCBhdWRpbw%3D%3D,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1
66,마음을 드려요,아이유,Ballad,https://www.youtube.com/watch?v=euI-C1YONaU&pp=ygUj66eI7J2M7J2EIOuTnOugpOyalCDslYTsnbTsnKAgYXVkaW8%3D,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
67,광화문에서 (At Gwanghwamun),규현 (KYUHYUN),Ballad,https://www.youtube.com/watch?v=GAdFpZHTh1I&pp=ygU36rSR7ZmU66y47JeQ7IScIChBdCBHd2FuZ2h3YW11bikg6rec7ZiEIChLWVVIWVVOKSBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
68,어디에도,엠씨더맥스 (M.C the MAX),Ballad,https://www.youtube.com/watch?v=OBif6i-qvuA&pp=ygUw7Ja065SU7JeQ64-EIOyXoOyUqOuNlOunpeyKpCAoTS5DIHRoZSBNQVgpIGF1ZGlv,,,,,,,,,,,,,,,
69,그대라는 시,태연 (TAEYEON),Ballad,https://www.youtube.com/watch?v=o3XK28nY6es&pp=ygUn6re464yA652864qUIOyLnCDtg5zsl7AgKFRBRVlFT04pIGF1ZGlv,,,,,,,,,,,,,,,
70,사랑에 연습이 있었다면 (Prod. 2soo),임재현,Ballad,https://www.youtube.com/watch?v=lNNPWLC8sTo&pp=ygU97IKs656R7JeQIOyXsOyKteydtCDsnojsl4jri6TrqbQgKFByb2QuIDJzb28pIOyehOyerO2YhCBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
71,사랑의 바보,제이세라,Ballad,https://www.youtube.com/watch?v=U1zqyTw1dPc&pp=ygUj7IKs656R7J2YIOuwlOuztCDsoJzsnbTshLjrnbwgYXVkaW8%3D,,,,,,,,,,,,,,,
72,그때가 좋았어,케이시 (Kassy),Ballad,https://www.youtube.com/watch?v=p5iu1V30myk&pp=ygUr6re465WM6rCAIOyii-yVmOyWtCDsvIDsnbTsi5wgKEthc3N5KSBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
73,곰인형 (Feat. 해금),린,Ballad,https://www.youtube.com/watch?v=H_Wkuss3dL8&pp=ygUi6rOw7J247ZiVIChGZWF0LiDtlbTquIgpIOumsCBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
74,천상연,이창섭,Ballad,https://www.youtube.com/watch?v=wOxVJB6lHcw&pp=ygUZ7LKc7IOB7JewIOydtOywveyErSBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
75,봄이 와도 (Prod. 로이킴),로이킴,Ballad,https://www.youtube.com/watch?v=3X5AhXtvtfY&pp=ygUv67SE7J20IOyZgOuPhCAoUHJvZC4g66Gc7J207YK0KSDroZzsnbTtgrQgYXVkaW8%3D,,,,,,,,,,,,,,,
76,좋니,윤종신,Ballad,https://www.youtube.com/watch?v=PjWuvvjHq6Y&pp=ygUW7KKL64uIIOycpOyiheyLoCBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
77,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),Ballad,https://www.youtube.com/watch?v=zy0IUAwE-AA&pp=ygVE6re465WMIOq3uCDsiJzqsIQg6re464yA66GcICjqt7jqt7jqt7gpIFdTR-ybjOuEiOu5hCAo6rCA7JW8RykgYXVkaW8%3D,,,,,,,,,,,,,,,
78,떠나보낼 준비해 둘걸 그랬어,임한별,Ballad,https://www.youtube.com/watch?v=rsiVErx0bWA&pp=ygU365ag64KY67O064K8IOykgOu5hO2VtCDrkZjqsbgg6re4656s7Ja0IOyehO2VnOuzhCBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
79,Say I Love You,우디 (Woody),Ballad,https://www.youtube.com/watch?v=JEJGD9mIYQQ&pp=ygUjU2F5IEkgTG92ZSBZb3Ug7Jqw65SUIChXb29keSkgYXVkaW8%3D,,,,,,,,,,,,,,,
80,이별하러 가는 길,임한별,Ballad,https://www.youtube.com/watch?v=ET1kApJ85s8&pp=ygUn7J2067OE7ZWY65-sIOqwgOuKlCDquLgg7J6E7ZWc67OEIGF1ZGlv,,,,,,,,,,,,,,,
81,...사랑했잖아...,린,Ballad,https://www.youtube.com/watch?v=nj_6geqNPLA&pp=ygUfLi4u7IKs656R7ZaI7J6W7JWELi4uIOumsCBhdWRpbw%3D%3D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,산책,백예린 (Yerin Baek),Ballad,https://www.youtube.com/watch?v=t9aZFgD0mic&pp=ygUj7IKw7LGFIOuwseyYiOumsCAoWWVyaW4gQmFlaykgYXVkaW8%3D,,,,,,,,,,,,,,,
83,소녀,오혁,Ballad,https://www.youtube.com/watch?v=aLX3b3j6z3g&pp=ygUT7IaM64WAIOyYpO2YgSBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
84,눈사람,정승환,Ballad,https://www.youtube.com/watch?v=ruxn3hNS6ig&pp=ygUZ64iI7IKs656MIOygleyKue2ZmCBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
85,입술 (Feat. 10CM),헤이즈 (Heize),Ballad,https://www.youtube.com/watch?v=Zq3oGv_RACs&pp=ygUr7J6F7IigIChGZWF0LiAxMENNKSDtl6TsnbTspoggKEhlaXplKSBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
86,널 사랑하지 않아,어반자카파,Ballad,https://www.youtube.com/watch?v=w4Nk36y78y8&pp=ygUt64SQIOyCrOueke2VmOyngCDslYrslYQg7Ja067CY7J6Q7Lm07YyMIGF1ZGlv,,,,,,,,,,,,,,,
87,미친 사랑의 노래,DK(디셈버),Ballad,https://www.youtube.com/watch?v=oGz25B49tJs&pp=ygUr66-47LmcIOyCrOuekeydmCDrhbjrnpggREso65SU7IWI67KEKSBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
88,그대가 내 안에 박혔다,황치열,Ballad,https://www.youtube.com/watch?v=ulBDif848dQ&pp=ygUu6re464yA6rCAIOuCtCDslYjsl5Ag67CV7ZiU64ukIO2Zqey5mOyXtCBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
89,안녕,폴킴,Ballad,https://www.youtube.com/watch?v=UidhQTm1ulw&pp=ygUT7JWI64WVIO2PtO2CtCBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
90,이 소설의 끝을 다시 써보려 해,한동근,Ballad,https://www.youtube.com/watch?v=rkTiux6y7hs&pp=ygU57J20IOyGjOyEpOydmCDrgZ3snYQg64uk7IucIOyNqOuztOugpCDtlbQg7ZWc64-Z6re8IGF1ZGlv,,,,,,,,,,,,,,,
91,내일 이별,신용재 (2F),Ballad,https://www.youtube.com/watch?v=z-U9UocPmDc&pp=ygUi64K07J28IOydtOuzhCDsi6DsmqnsnqwgKDJGKSBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
92,Timeless,SG 워너비,Ballad,https://www.youtube.com/watch?v=j_Wobf3NBJ4&pp=ygUbVGltZWxlc3MgU0cg7JuM64SI67mEIGF1ZGlv,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0
93,Beautiful,Crush,Ballad,https://www.youtube.com/watch?v=b2tN5M2v-Kw&pp=ygUVQmVhdXRpZnVsIENydXNoIGF1ZGlv,,,,,,,,,,,,,,,
94,기다리다,윤하 (YOUNHA),Ballad,https://www.youtube.com/watch?v=_6C5-abCx6g&pp=ygUi6riw64uk66as64ukIOycpO2VmCAoWU9VTkhBKSBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
95,고백,멜로망스,Ballad,https://www.youtube.com/watch?v=UhY0x9jN_uE&pp=ygUZ6rOg67CxIOupnOuhnOunneyKpCBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
96,사랑이 아닌 단어로 사랑을 말해요,siso(시소),Ballad,https://www.youtube.com/watch?v=YOlKK77CdtM&pp=ygVB7IKs656R7J20IOyVhOuLjCDri6jslrTroZwg7IKs656R7J2EIOunkO2VtOyalCBzaXNvKOyLnOyGjCkgYXVkaW8%3D,,,,,,,,,,,,,,,
97,어떤 미래,WOOZI (SEVENTEEN),Ballad,https://www.youtube.com/watch?v=3vSlfwzpTf4&pp=ygUl7Ja065akIOuvuOuemCBXT09aSSAoU0VWRU5URUVOKSBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
98,크리스마스니까,VIXX (빅스),Ballad,https://www.youtube.com/watch?v=pay5EQNPA-I&pp=ygUp7YGs66as7Iqk66eI7Iqk64uI6rmMIFZJWFggKOu5heyKpCkgYXVkaW8%3D,,,,,,,,,,,,,,,
99,지극히 사적인 얘기,다비치,Ballad,https://www.youtube.com/watch?v=TZZzfQbopLQ&pp=ygUq7KeA6re57Z6IIOyCrOyggeyduCDslpjquLAg64uk67mE7LmYIGF1ZGlv,,,,,,,,,,,,,,,
100,그 겨울엔 네가 있어,"허용별 (허각, 신용재, 임한별)",Ballad,https://www.youtube.com/watch?v=hUA43EUDJCE&pp=ygVK6re4IOqyqOyauOyXlCDrhKTqsIAg7J6I7Ja0IO2XiOyaqeuzhCAo7ZeI6rCBLCDsi6DsmqnsnqwsIOyehO2VnOuzhCkgYXVkaW8%3D,,,,,,,,,,,,,,,
101,네 옆에 그 사람은 내가 아닌 다른사람,Kid Wine,Ballad,https://www.youtube.com/watch?v=iwgkwriv0OE&pp=ygVC64SkIOyYhuyXkCDqt7gg7IKs656M7J2AIOuCtOqwgCDslYTri4wg64uk66W47IKs656MIEtpZCBXaW5lIGF1ZGlv,,,,,,,,,,,,,,,
102,가을 타나 봐,바이브,Ballad,https://www.youtube.com/watch?v=EIQNCiIZQRg&pp=ygUh6rCA7J2EIO2DgOuCmCDrtJAg67CU7J2067iMIGF1ZGlv,,,,,,,,,,,,,,,
103,Hate You,정국,Ballad,https://www.youtube.com/watch?v=tAcKfnf0zv4&pp=ygUVSGF0ZSBZb3Ug7KCV6rWtIGF1ZGlv,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1
104,I Love You (Prod. 김도훈),홍이삭,Ballad,https://www.youtube.com/watch?v=3FQWXCR3nLI&pp=ygUsSSBMb3ZlIFlvdSAoUHJvZC4g6rmA64-E7ZuIKSDtmY3snbTsgq0gYXVkaW8%3D,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1
105,가을 안부,먼데이 키즈 (Monday Kiz),Ballad,https://www.youtube.com/watch?v=U7EMw5ulPZ4&pp=ygUx6rCA7J2EIOyViOu2gCDrqLzrjbDsnbQg7YKk7KaIIChNb25kYXkgS2l6KSBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
106,운이 좋았지,권진아,Ballad,https://www.youtube.com/watch?v=OpK5qgGbR6Y&pp=ygUg7Jq07J20IOyii-yVmOyngCDqtozsp4TslYQgYXVkaW8%3D,,,,,,,,,,,,,,,
107,추억은 만남보다 이별에 남아,정동하,Ballad,https://www.youtube.com/watch?v=_iP6_RAd9zY&pp=ygU37LaU7Ja17J2AIOunjOuCqOuztOuLpCDsnbTrs4Tsl5Ag64Ko7JWEIOygleuPme2VmCBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
