Song,Title,Singer,About,일치여부
사랑인가 봐,"사랑인가 봐 (Love, Maybe)!",MeloMance,-,불일치
첫 눈,Ailee - 첫눈처럼 너에게 가겠다 (I Will Go To You Like The First Snow) (Romanized)!,Genius Romanizations,An ost from a Korean drama – Goblin,불일치
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지","AKMU - 어떻게 이별까지 사랑하겠어, 널 사랑하는 거지 (How can I love the heartbreak, you’re the one I love) (English Translation)!",Genius English Translations,-,불일치
사랑하지 않아서 그랬어,사랑하지 않아서 그랬어 (Because I Don’t Love You)!,Onestar,-,불일치
사랑할 수밖에,사랑할 수밖에 (Eternal love)!,BOL4,-,불일치
그대가 내 안에 박혔다(그내박),그대가 내 안에 박혔다 (Learn To Love)!,Hwang Chi Yeul (황치열),-,불일치
취중고백,Kim Min Seok (김민석) - 취중고백 (DrunKen Confession) (Romanized)!,Genius Romanizations,-,불일치
기억해줘요 내 모든 날과 그때를,GUMMY - 기억해줘요 내 모든 날과 그때를 (Remember Me) (Romanized)!,Genius Romanizations,Hotel Del Luna OST. By: GUMMY,불일치
별 떨어진다 (I Do),별 떨어진다 (I Do),D.O.,-,일치
"모든 날, 모든 순간 (Every day, Every Moment)","Every Day, Every Moment (모든 날, 모든 순간)!",Paul Kim (폴킴),-,불일치
해요 (2022),약속해요 (I.P.U.)!,WANNA ONE,"약속해요 (I.P.U.) or I Promise You is a pre-release track for WANNA ONE’s upcoming 2nd mini album, 0+1=1 (I PROMISE YOU); and a special theme track for their 100th days since debut. It was released on March 5, 2018 by YMC Entertainment & CJ E&M Entertainment.",불일치
물론,약먹고 존나 우리는 음악을 잘한다 물론 감기약!,PULLIK x Sokodomo x Sandy,-,불일치
I Love You,i love you!,Billie Eilish,"“i love you” is a soft acoustic ballad that explores the struggles and feelings from a complicated relationship. The song’s chorus features vocal harmonies by her brother, FINNEAS.
On May 13, 2018, she teased a 15-second snippet of the demo to her fans. This snippet was re-posted to her Instagram story on January 2, 2019, where she confirmed it to be the twelfth track on her debut album. However, it was replaced by “listen before i go,” becoming the thirteenth track instead.
When asked by Radio Energy for her favorites on the album, Eilish listed “i love you” as one of them, citing the track as, “still one of my favorite songs I’ve ever written in my life.”
In an interview with PopBuzz, Eilish confirmed that the final three song titles on the album were intended to form a sentence, beginning with “listen before i go,” then “i love you,” ending on “goodbye.”
The sentence was initially supposed to begin with a track titled “i dont know, i just wish i wasnt breathing,” but Eilish stated that the song was never completed, and therefore could not be included on the record.
“i love you” was the longest track of Eilish’s discography at 4 minutes and 52 seconds, but was overtaken by the title track of her sophomore album Happier Than Ever, which is 4 minutes and 58 seconds long, just 6 seconds longer.
Many have also pointed out similarities between the chorus of “i love you” and Leonard Cohen’s iconic song, “Hallelujah”.
The song’s Spotify artwork was done by @junkie.cowboy on Instagram.",불일치
우리들의 블루스,"우리들의 블루스 (Our Blues, Our Life)!",Lim Young Woong (임영웅),-,불일치
모래 알갱이,모래 알갱이 (Grain of Sand)!,Lim Young Woong (임영웅),-,불일치
나에게 그대만이,나에게 그대만이 (Only you)!,TopHyun (탑현),-,불일치
눈이 오잖아(Feat.헤이즈),눈이 오잖아 (When it snows)!,Lee Mujin (이무진),-,불일치
다시 만날 수 있을까,다시 만날 수 있을까 (If We Ever Meet Again)!,Lim Young Woong (임영웅),-,불일치
아버지,D.O. - 나의 아버지 (Dad) (English Translation)!,Genius English Translations,-,불일치
인생찬가,인생찬가 (A Psalm of Life)!,Lim Young Woong (임영웅),-,불일치
희재,희재 (Hui-Jae)!,Sung Si-Kyung (성시경),-,불일치
널 미워하기로 했어,널 미워하기로 했어 (I Decided to Hate You)!,Lee Yejoon (이예준),-,불일치
하루,BTS - 하루만 (Just One Day) (English Translation)!,Genius English Translations,"This is a B-track from their 2014 album “Skool Luv Affair” that talks about what each member would do if they could have just one day with the one that they love. Each member explains what they would do in each verse. While the melody and the music video is catchy and sweet, this is actually a really sad song as BTS has to sacrifice their love for their dreams and just wishes for one day.
Suga wrote “JUST ONE DAY” when he was in the hospital because of Appendicitis. It was then finalized by Jhope and RM. This song can have many meanings. It depends on how you listen to it.",불일치
"밤, 바다","밤, 바다 (Night Sea)!",Choi Yu Ree (최유리),-,불일치
첫눈처럼 너에게 가겠다,Ailee - 첫눈처럼 너에게 가겠다 (I Will Go To You Like The First Snow) (Romanized)!,Genius Romanizations,An ost from a Korean drama – Goblin,불일치
밤하늘의 별을(2020),밤하늘의 별을 (Shiny Star) (2020)!,KyoungSeo (경서),"KyoungSeo appeared the first time as a participant on singing programs, “Vocal Play Season 2” and “Fantastic duo,” with “Shiny Star (2020).”
A romantic song, the lyrics tell a story about meeting the perfect person and falling in love. It is a perfect song to confess to your precious one.
This song is a remake of Yang Jung Seung’s song with the same title that played as background music to CyWorld app (South Korean social networking service popular in the 2000’s).
This song topped the Genie music chart from 15th to 19th November 2020.",불일치
너의 번호를 누르고 (Prod. 영화처럼),너의 번호를 누르고 (Dial Your Number)!,Kim Na Young (김나영),-,불일치
그리워하다,그리워하다 (Missing You)!,BTOB,-,불일치
응급실,응급실 (Emergency Room)!,izi (KOR),-,불일치
Monologue,Ride Monologue!,Lana Del Rey,"This monologue was written by Lana Del Rey, and is spoken by her at the beginning and end of the music video of Ride.",불일치
yours,Lose Yourself!,Eminem,"“Lose Yourself” is the theme song from Eminem’s semi-biographical 2002 movie 8 Mile. Eminem is narrating the life of the film’s protagonist, Jimmy, up until the third verse, where Jimmy and Eminem’s journey converge.
Engineer Steven King told Rolling Stone in 2003 that Eminem “laid down all three verses in one take”, which Eminem has since shed doubt on.
Eminem stated in his 2008 autobiography, The Way I Am, that he wrote “in-between shooting scenes [for 8 Mile] and taking care of [his] kids” (pg 108-109.) Scans of the scrawled lyrics on A4 writing pad pages were also featured in the autobiography (pg 217-218.)
In 2014, the demo version appeared on Shady Records' SHADY XV compilation album, which featured the same beat and tone but almost entirely different lyrics.
Commercially, “Lose Yourself” was hugely successful and reached #1 in 20 countries, including the US. It marked Eminem’s first US #1, and held the top position for 12 weeks, becoming the third-longest chart-topper from a movie soundtrack (behind “I Will Always Love You” and “End Of The Road”). As of 2022, it is 13x Multi-Platinum in the US.
The song was lauded critically, too. It won two Grammys (Best Male Rap Solo Performance & Best Rap Song) and became the first rap song to win the Oscar for Best Original Song. Eminem didn’t attend the ceremony as he didn’t think he’d win, meaning he didn’t perform it, which is atypical for winners of the category. This was remedied when he performed the song at the 2020 Oscars.
The song has also had a huge cultural impact. Apple used the song for two commercials in the mid-‘00s to promote iTunes and the iPod, with Eminem featuring in the latter video. Chrysler used the instrumental and Eminem for their 2011 “Born of Fire” Super Bowl commercial. In 2021, Eminem opened up a restaurant in Detroit called “Mom’s Spaghetti”, which is a lyric that’s been meme’d extensively (even being given its own fan-made song.)",불일치
아로하,Cho Jung Seok - 아로하 (Aloha) (Romanized)!,Genius Romanizations,-,불일치
늦은 밤 너의 집 앞 골목길에서,늦은 밤 너의 집 앞 골목길에서 (Late Night)!,NOEL (KOR),-,불일치
취기를 빌려 (취향저격 그녀 X 산들),취기를 빌려 (Slightly Tipsy)!,saevom,-,불일치
다시 사랑한다면 (니글니글 버터플라이),다시 사랑한다면 (If We Love Again)!,Yoon Sang Hyun (윤상현),-,불일치
그때 헤어지면 돼,그때 헤어지면 돼 (Only Then) (Cover)!,Jung Kook (정국),"This song cover was released on White Day, March 14, 2018, as a gift for ARMYs from Jungkook of BTS. Before its release, Jungkook posted a preview of the song to the group’s personal Twitter account on February 25th, 2018.

RM replied to Jungkook’s post saying that he asked Jungkook to cover the song and Jungkook sent it to him on KakaoTalk (a Korean messaging service). RM also said, “When you’re listening to the song, it’s not Jungkook, it’s heaven.” The statement is also a wordplay on Jungkook’s name (정국), which sounds very similar to the pronunciation of heaven (천국/cheon-guk).",불일치
거리에서,거리에서 (In The Street)!,Sung Si-Kyung (성시경),-,불일치
나의 X에게,나의 X에게 (Dear my X)!,KyoungSeo (경서),-,불일치
Heaven(2023),Stairway to Heaven!,Led Zeppelin,"“Stairway to Heaven” is one of Led Zeppelin’s most famous recordings, with many considering it the greatest rock song of all time. It tells the story of a greedy woman who is overly optimistic about her unpromising future.
The song resonated with young listeners, opening up a door to a different realm of spirituality and transporting them into a more mystical view of life. The vagueness of the lyrics also allows listeners to interpret the song in their own way, adding to the magic and mystery of the track.",불일치
마음을 드려요,IU - 마음을 드려요 (I Give You My Heart) (English Translation)!,Genius English Translations,"On February 15, IU released her OST after 9 years titled “I Gave You My Heart” for the drama Crash Landing On You.
The lyrics of the beautiful song convey the hope of always being with the one in love and offering them your heart, although it doesn’t seem like much to give in return for all the blessings you received which manages to perfectly capture the feelings of the characters in the drama played by Hyun Bin and Son Ye Jin.
In less than three hours, the song had risen to the top of realtime music charts such as Melon, Genie, Bugs, and Soribada. It has also charted within the Top 5 on Flo’s realtime chart.",불일치
광화문에서 (At Gwanghwamun),광화문에서 (At Gwanghwamun),KYUHYUN (규현),-,일치
어디에도,어디에도 (No Matter Where)!,M.C The Max,-,불일치
그대라는 시,TAEYEON - 그대라는 시 (All About You) (Romanized)!,Genius Romanizations,-,불일치
사랑에 연습이 있었다면 (Prod. 2soo),사랑에 연습이 있었다면 (If There Was Practice In Love)!,Jaehyun Lim (임재현),-,불일치
사랑의 바보,사랑의 바보 (Love Fool)!,The NuTs (더 넛츠) (KOR),-,불일치
그때가 좋았어,그때가 좋았어 (The day was beautiful)!,Kassy (케이시),-,불일치
곰인형 (Feat. 해금),"안녕, 곰인형 (Dear Teddy Bear)!",BOL4,-,불일치
봄이 와도 (Prod. 로이킴),봄이 와도 (When Spring Comes)!,Roy Kim,-,불일치
그때 그 순간 그대로 (그그그),그때 그 순간 그대로 (그그그) (At That Moment)!,Gaya-G,-,불일치
떠나보낼 준비해 둘걸 그랬어,떠나보낼 준비해 둘걸 그랬어 (Get Ready To Leave)!,Onestar,-,불일치
이별하러 가는 길,이별하러 가는 길 (The Way To Say Goodbye)!,Onestar,-,불일치
...사랑했잖아...,우리 사랑했잖아 (We Were In Love)!,T-ARA & DAVICHI,"This is the second collaboration song between DAVICHI and T-ARA this time The SeeYa were not featured as they were preparing to debut.
The two groups performed this song once on Inkigayo, and featured the song at the end of T-ARA’s music video for their hit “Lovey Dovey”.
Both groups featured this song in their albums Funky Town (Repackage and in Special Best",불일치
산책,산책 (A Walk)!,Yerin Baek,-,불일치
눈사람,눈사람 (The Snowman)!,Jung Seung Hwan (정승환),-,불일치
입술 (Feat. 10CM),아랫입술 물고 (Biting My Lower Lip)!,eSNa (에스나),-,불일치
널 사랑하지 않아,널 사랑하지 않아 (I Don’t Love You)!,Urban Zakapa,-,불일치
안녕,2NE1 - 안녕 (Goodbye) (English Translation)!,Genius English Translations,-,불일치
이 소설의 끝을 다시 써보려 해,이 소설의 끝을 다시 써보려 해 (Making a New Ending for This Story)!,Han Dong Geun (한동근),-,불일치
내일 이별,내일 이별 (Last day)!,GB9,-,불일치
Timeless,Timeless,A Boogie wit da Hoodie,"“Timeless” is A Boogie flowing over a smooth R&B-influenced instrumental produced by Toronto’s very own, Jaegen.
A preview of the cut was included on DJ SpinKing’s mixtape, “For the Culture,” whereas the full song made its way to A Boogie’s project, “TBA,” released October 28, 2016.",일치
기다리다,기다리다 (Waiting) (Acoustic Ver.)!,YOUNHA (윤하),-,불일치
고백,고백합니다 (I Confess)!,SG Wannabe,-,불일치
크리스마스니까,크리스마스이니까 (A Miracle 3 Days Ago)!,Moon Byul,-,불일치
가을 타나 봐,가을 타나 봐 (Fall In Fall)!,VIBE (KOR),-,불일치
Hate You,I Hate YoungBoy!,YoungBoy Never Broke Again,"On “I Hate YoungBoy,” YoungBoy Never Broke Again goes on the offensive against Lil Durk and many of those affiliated with him, from Apple Music to Gucci Mane.
The track is a same-day response to Durk’s “AHHH HA,” which features disses at YoungBoy, his child’s mother, and his 4K Trey crew. The escalating beef between the two artists largely stems from the death of Durk’s label signee and close friend, King Von, on November 6th of 2020. Von was killed after an altercation with Quando Rondo (a signee to YoungBoy’s Never Broke Again label) and Quando’s friend Lul Timm led to shots being fired.
YoungBoy calls out Durk directly and asserts that he is not afraid of any threats or attempts against his life. He tells those who don’t support him fully to pick a side of the beef and live with the consequences of their decision or indecision.",불일치
I Love You (Prod. 김도훈),i love you!,Billie Eilish,"“i love you” is a soft acoustic ballad that explores the struggles and feelings from a complicated relationship. The song’s chorus features vocal harmonies by her brother, FINNEAS.
On May 13, 2018, she teased a 15-second snippet of the demo to her fans. This snippet was re-posted to her Instagram story on January 2, 2019, where she confirmed it to be the twelfth track on her debut album. However, it was replaced by “listen before i go,” becoming the thirteenth track instead.
When asked by Radio Energy for her favorites on the album, Eilish listed “i love you” as one of them, citing the track as, “still one of my favorite songs I’ve ever written in my life.”
In an interview with PopBuzz, Eilish confirmed that the final three song titles on the album were intended to form a sentence, beginning with “listen before i go,” then “i love you,” ending on “goodbye.”
The sentence was initially supposed to begin with a track titled “i dont know, i just wish i wasnt breathing,” but Eilish stated that the song was never completed, and therefore could not be included on the record.
“i love you” was the longest track of Eilish’s discography at 4 minutes and 52 seconds, but was overtaken by the title track of her sophomore album Happier Than Ever, which is 4 minutes and 58 seconds long, just 6 seconds longer.
Many have also pointed out similarities between the chorus of “i love you” and Leonard Cohen’s iconic song, “Hallelujah”.
The song’s Spotify artwork was done by @junkie.cowboy on Instagram.",불일치
가을 안부,가을 안부 (When Autumn Comes)!,Monday Kiz,-,불일치
운이 좋았지,운이 좋았지 (I Got Lucky)!,Kwon Jin Ah (권진아),-,불일치
추억은 만남보다 이별에 남아,추억은 만남보다 이별에 남아 (I Still Love You)!,Jung Dong Ha (정동하),-,불일치
This Christmas,This Christmas,Chris Brown,"Single by Chris Brown which was produced to support the released of the 2007 movie of the same name, of which Brown features in.",일치
12월의 기적 (Miracles In December),12월의 기적 (Miracles In December),EXO,"The title song “Miracles in December” is a pop ballad song highlighted by the minimal and emotional piano melodies and beautiful string sounds, giving another emotion of EXO who had caught your eyes with the differentiated dynamic performances until now.
The lyrics say in a heartrending and tragically appealing tone that due to an irresistible yearning for lover after their breakup, one earns almightiness to hear and see his beloved one and he can fill the world with her even though she is not with him anymore, but he finally realizes he could not make her actually come back even with those almightinesses.
This song was written by a hit songwriter Yoon Sarah, arranged by a hot music composer DON SPIKE and then completed the recording work of sessions at the ‘Ocean Way Nashville Studios’ in Tennessee, America, which has high reputation of the best orchestra recoding room in the world, to add to song’s perfection",일치
Merry &amp; Happy,Make Merry!,Amphibious Zoo Music,-,불일치
내일의 우리 (Ordinary Days),내일의 우리 (Ordinary Days),D.O.,-,일치
Someday,Someday,The Strokes,“Someday” was the third single from Is This It. It peaked at #17 on the U.S. Alternative Songs chart and at #27 on the U.K. Singles Chart.,일치
나무,겨울나무 (I’m All Ears)!,TAEYEON (태연),-,불일치
눈 (Feat. 이문세),"TAEYANG - 눈, 코, 입 (EYES, NOSE, LIPS) (Romanized)!",Genius Romanizations,"Taeyang wrote this song about his now wife, Min Hyo Rin, while they were dating. It talks about the struggles in a relationship, and now he reminisces about how beautiful her “eyes, nose and lips” were when they were dating.",불일치
Christmas Tree,Rockin’ Around the Christmas Tree!,Brenda Lee,"“Rockin' Around the Christmas Tree” is a Christmas classic written by Johnny Marks and performed by Brenda Lee. Despite her mature-sounding voice, Lee recorded the track when she was just 12 years old.
On December 4, 2023, 65 years after its initial release, “Rockin' Around the Christmas Tree” hit number one on the U.S. Billboard Hot 100.",불일치
솔직하게 말해서 나,솔직하게 말해서 나 (To Be Honest)!,Kim Na Young (김나영),-,불일치
저녁 하늘,저녁 하늘 (Evening Sky)!,Ailee (에일리),-,불일치
골목길 (with 성시경),골목길에서 (Crossroad)!,N.Flying,-,불일치
사랑하기 싫어,사랑하기 싫어 (Tired of falling in love)!,ZIA (지아),-,불일치
사랑하지 않아서 그랬니,사랑하지 않아서 그랬니 (Because You Don’t Love Me)!,ZIA (지아),-,불일치
Christmas Day,It’s Christmas Day Bro!,"Jake Paul, Team 10 & Jerry Purpdrank","“It’s Christmas Day Bro” is one of the finest songs in Jake Paul’s discography, as you can infer from the artistic, never-done-before lyrics. Lyrical gems such as “Christmas time, wake up, wake up, it’s Christmas Day!” – groundbreaking lyrics for a Christmas song – cement Paul’s status as one of the best lyricists of our generation. As the keen-eyed amongst you will notice, the song references Team 10’s seminal hit “It’s Everyday Bro”, but in order to keep it festive, he has changed the title to “It’s Christmas Day Bro”. Subtle references to his previous work are what make Jake Paul and the Team 10 elves one of the most innovative and talented artists of this generation.",불일치
시든 꽃에 물을 주듯,시든 꽃에 물을 주듯 (The Lonely Bloom Stands Alone)!,HYNN (박혜원),-,불일치
Shot Glass of Tears,Shot Glass of Tears,Jung Kook (정국),-,일치
너 밖엔 없더라,너 밖엔 없더라 (Only You)!,Kassy (케이시),-,불일치
가을밤 떠난 너,가을밤 떠난 너 (Story of night fall)!,Kassy (케이시),-,불일치
Happiness,happiness!,Taylor Swift,"Despite its appearance, “happiness” has a deceptive title—as Taylor acknowledged herself during the “willow” premiere. It’s a classic Taylor track about moving on from a decaying relationship, but acknowledging the bits of joy that existed within a more destructive, hurtful context. It’s ultimately a hopeful song—what was bad was also good at times, and there will be good things still to come.
She also mentioned that this was the last song written on the album—finished just a week before release.",불일치
새벽에 걸려온 너의 전화는,새벽에 걸려온 너의 전화는 (dawn call from you)!,Han Dong Geun (한동근),-,불일치
11:11,You!,11:11,11:11’s most popular track off his EP. The song discusses the fact that he could own any material thing or have any woman but he still wouldn’t be complete without the one he really wants. “You” refers of course to the woman of his dreams.,불일치
야생화,야생화 (Wild Flower)!,Park Hyo Shin (박효신),-,불일치
드라마,드라마라마 (DRAMARAMA)!,MONSTA X,"DRAMARAMA is the title track of Monsta X’s 5th mini album THE CODE. The music video for the song revolves around the concept of time travel. This track earned them their first music show win on November 14th, 2017. Congratulations to them!",불일치
우린 그렇게 사랑해서,우린 그렇게 사랑해서 (Because we loved)!,Kang Min Kyung & Choi Jung Hoon,-,불일치
언제나 사랑해,언제나 사랑해 (Always love you)!,Kassy (케이시),-,불일치
너에게 못했던 내 마지막 말은,너에게 못했던 내 마지막 말은 (Unspoken Words)!,DAVICHI (다비치),-,불일치
혼자 왔어요,혼자왔어요 (Lonely Night)!,Yeoeun (여은),-,불일치
Never Ending Story,The NeverEnding Story!,Limahl,"“The NeverEnding Story” is the end theme of the 1984 film The Neverending Story. The film is, in turn, an adaptation of the novel Die unendliche Geschichte (1979) by Michael Ende.
In keeping with the film title, the song does not have a definite beginning or ending per se: It fades into verse one, and fades out during the coda, as if the song were part of a loop. It was composed by disco pioneer Giorgio Moroder, with lyrics by Keith Forsey. Forsey was a disco drummer and songwriter who also penned songs for the films Ghostbusters (1984), Beverly Hills Cop (1984), and The Breakfast Club (1985).
Limahl and Moroder recorded French and English versions of the song at a studio in Munich. The English version features soprano vocals by American singer Beth Anderson, while the French version (translated by Pierre-André Dousset) features French pop singer Ann Calvert.",불일치
안녕이라고 말하지마,DAVICHI - 안녕이라고 말하지마 (Don’t Say Goodbye) (Romanized)!,Genius Romanizations,-,불일치
이럴거면,이럴거면 그러지말지 (Shouldn’t Have...)!,Baek A Yeon (백아연),-,불일치
행복한 나를,행복한 나를 (Happy Me)!,BIG MAMA (빅마마) (KOR),-,불일치
시간과 낙엽,시간과 낙엽 (Time and fallen leaves)!,AKMU (악뮤),-,불일치
잘가요,잘가요 내사랑 (Goodbye My Love)!,Jeong Dong Won (정동원),-,불일치
서랍,10CM - 서랍 (Drawer) (English Translation)!,Genius English Translations,-,불일치
발걸음,발걸음 (A Day For Love)!,YUKIKA (유키카),"Yukika said in her album commentary that she received this song long before she received her debut song, NEON, and she felt like this song was meant for her.",불일치
언젠간 괜찮아질 이야기,언젠간 괜찮아질 이야기 (It’ll pass)!,HEIZE & Jung Seung Hwan,-,불일치
한사람만 (2023) (여름날 우리 X 이홍기 (FT아일랜드)),한사람만 (Only One Person) (2023)!,Lee Hong Gi (이홍기),-,불일치
그대를 알고,그대를 알고 (Since I knew you)!,Song Haye (송하예),-,불일치
바라만 본다,바라만 본다 (Just Watching You)!,JEONG SEWOON (정세운),-,불일치
그댄 행복에 살텐데 (2022),그댄 행복에 살텐데 (You may live in happiness) (2022)!,Choi Yu Ree (최유리),-,불일치
나비무덤,나비무덤 (Butterfly Grave) (2015)!,TAKE (테이크) (KOR),-,불일치
마지막 사랑,마지막 사랑 (Last Love)!,Kid Wine (키드와인),-,불일치
어디든 가자 (Feat. 허성현),어디든 가자 (Let’s Go Anywhere)!,8No1,-,불일치
"우리 사랑 이대로 (여름날 우리 X 규현 (KYUHYUN), 정은지)",우리 사랑 이대로 (Still Our Love Continue)!,KYUHYUN & Jeong Eun Ji,-,불일치
너 없인 안 된다,너 없인 안 된다 (Only one for me)!,BTOB,"“너 없인 안 된다 (Only one for me)” is the title track of the BTOB’s 11th EP This Is Us.
The song expresses a deep longing and love for a specific person. The lyrics convey the idea that the narrator cannot live without the presence of their loved one. The song talks about how their life would be filled with regret if they don’t express their feelings and keep them inside.",불일치
가질 수 없는 너,가질 수 없는 너 (Paralyzer)!,FTISLAND,-,불일치
"여자는 말 못하고, 남자는 모르는 것들","여자는 말 못하고, 남자는 모르는 것들 (Women can’t talk, Men don’t know)!",Jung Dong Ha (정동하),-,불일치
늦은 밤 헤어지긴 너무 아쉬워,늦은 밤 헤어지긴 너무 아쉬워 (Don’t wanna leave tonight)!,Kassy (케이시),-,불일치
너를 보는게 지친 하루에,너를 보는게 지친 하루에 (Seeing you on a tough day)!,Song Haye (송하예),-,불일치
당신을 만나,다음생이 있다면 당신을 만나서 다시 사랑할래요 (I’d love you again if I have a next life)!,Jaehyun Lim (임재현),-,불일치
비가 오는 날엔 (2021),HEIZE - 비가 오는 날엔 (On Rainy Days) (2021) (English Translation)!,Genius English Translations,"Heize’s remake of Beast/B2st’s (now known as Highlight)’s song 비가 오는 날엔 [On Rainy Days] for the Playlist web-drama Blue Birthday, starring Pentagon’s Hongseok and Red Velvet’s Yeri in a time-travelling drama set at Seoyeon High, a prominent setting in Playlist dramas.",불일치
사랑은 가슴이 시킨다(2023),사랑은 가슴이 시킨다 (Love from a Real Heart) (2023)!,LEE CHANGSUB,-,불일치
끝,Stray Kids - 끝나지 않을 이야기 (Neverending Story) (Romanized)!,Genius Romanizations,-,불일치
그때 그 아인,"Kim Feel - Someday, the Boy (그때 그 아인) (Romanized)!",Genius Romanizations,-,불일치
Hear Me Out,Hear Me Out,Lil Kee,-,일치
Let Me In,Let Me In,H.E.R.,"On the third track of her 21-track compilation album, H.E.R. is referring about how she wants her lover to openly communicate with her.
Written by the artist herself and Knox Brown, this song is not featured on either H.E.R., Vol. 1 or H.E.R., Vol. 2. It was subsequently added when both parts of her work were combined.",일치
나의 마음에 (Seed),나의 마음에 (Seed),TAEYANG (태양),-,일치
너에게 닿을게,너에게 닿을게 (Get To You)!,Jung Seung Hwan (정승환),-,불일치
잘사니,잘사니 (How are you?)!,NOEL (KOR),-,불일치
우리 왜 헤어져야 해 (여름날 우리 X 전상근),우리 왜 헤어져야 해 (Why break up?)!,Jeon Sang Keun (전상근),-,불일치
오늘도 빛나는 너에게,오늘도 빛나는 너에게 (To You My Light)!,MAKTUB (마크툽),-,불일치
삭제,삭제 (Delete)!,KIM JAE HWAN (김재환),-,불일치
혼자라고 생각말기,혼자라고 생각말기 (Don’t Think You’re Alone)!,Onestar,-,불일치
비가 오는 날엔,HEIZE - 비가 오는 날엔 (On Rainy Days) (2021) (English Translation)!,Genius English Translations,"Heize’s remake of Beast/B2st’s (now known as Highlight)’s song 비가 오는 날엔 [On Rainy Days] for the Playlist web-drama Blue Birthday, starring Pentagon’s Hongseok and Red Velvet’s Yeri in a time-travelling drama set at Seoyeon High, a prominent setting in Playlist dramas.",불일치
잊는 법,잊는 법 (How to Forget)!,Lee Yejoon (이예준),-,불일치
상록수,상록수 (Evergreen) 2020!,Various Artists,-,불일치
바람,바람기억 (Memory of the Wind)!,NAUL (나얼),-,불일치
Heaven,Stairway to Heaven!,Led Zeppelin,"“Stairway to Heaven” is one of Led Zeppelin’s most famous recordings, with many considering it the greatest rock song of all time. It tells the story of a greedy woman who is overly optimistic about her unpromising future.
The song resonated with young listeners, opening up a door to a different realm of spirituality and transporting them into a more mystical view of life. The vagueness of the lyrics also allows listeners to interpret the song in their own way, adding to the magic and mystery of the track.",불일치
이 세상 끝까지,세상끝까지 (Until the End of the World)!,DANA (다나) (CSJH),"The main title song for Dana’s first studio album in the same name, Dana.",불일치
다시 사랑한다면,다시 사랑한다면 (If We Love Again)!,Yoon Sang Hyun (윤상현),-,불일치
운다 운다,LUNA of f(x) - 운다고 (Even So) [English Translation]!,Genius English Translations,-,불일치
그날 밤,그날 밤 (Night and Day) (Acoustic Ver)!,Park Eunbin (박은빈),-,불일치
처음처럼,처음처럼 (Like the first time)!,HEIZE (헤이즈),-,불일치
결국엔 너에게 닿아서,결국엔 너에게 닿아서 (To You)!,Gaya-G,-,불일치
다시 사랑할 수 있게,다시 사랑할 수 있게 (Love you again)!,MeloMance,-,불일치
